POINTNAME,POINTNUMBER
VVC_Grp_Avg_Volt_ALHAMBRA_16_NOB,790142
VVC_Grp_Avg_Volt_ALHAMBRA_16_SOB,790143
0045102 - Volts,802205
0045106 - Volts,802235
0005076 - Volts,800375
0013264 - Volts,800705
0038288 - Volts,801575
0038298 - Volts,801605
0038286 - Volts,807395
0045952 - Volts,808295
0045117 - Volts,808205
0045125 - Volts,808265
0050360 - Volts,808385
0013261 - Volts,806285
0013263 - Volts,806315
RSR1493 - VA,813878
RSR1493 - Demand IA,813881
RSR1493 - Phase Trip,813884
RSR1493 - IG,813885
RSR1493 - Demand IB,813887
RSR1493 - Fault Current,813888
RSR1493 - VB,813889
RSR1493 - VC,813890
RSR1493 - KW B,813908
RSR1493 - Max Demand IA,813909
RSR1493 - Demand IC,813910
RSR1493 - KW C,813911
RSR1493 - Max Demand IG,813912
RSR1493 - VS,813913
RSR1493 - IB,813915
RSR1493 - IC,813916
RSR1493 - Ground Trip,813918
RSR1493 - KW A,813919
RSR1493 - KW 3PH,813920
RSR1493 - IA,813938
RSR1493 - Max Demand IC,813939
RSR1493 - Max Demand IB,813858
RSR1493 - Demand IG,813861
RSR2078 - KW C,814898
RSR2078 - Max Demand IG,814899
RSR2078 - VS,814900
RSR2078 - IB,814902
RSR2078 - IC,814903
RSR2078 - Ground Trip,814905
RSR2078 - KW A,814906
RSR2078 - KW 3PH,814907
RSR2078 - IA,814909
RSR2078 - Max Demand IC,814910
RSR2078 - Max Demand IB,814845
RSR2078 - Demand IG,814848
RSR2078 - VA,814849
RSR2078 - Demand IA,814868
RSR2078 - Phase Trip,814871
RSR2078 - IG,814872
RSR2078 - Demand IB,814874
RSR2078 - Fault Current,814875
RSR2078 - VB,814876
RSR2078 - VC,814877
RSR2078 - KW B,814879
RSR2078 - Max Demand IA,814880
RSR2078 - Demand IC,814881
RSR0342 - Max Demand IB,820992
RSR0342 - Demand IG,820995
RSR0342 - VA,820996
RSR0342 - Demand IA,820999
RSR0342 - Phase Trip,821018
RSR0342 - IG,821019
RSR0342 - Demand IB,821021
RSR0342 - Fault Current,821022
RSR0342 - VB,821023
RSR0342 - VC,821024
RSR0342 - KW B,821026
RSR0342 - Max Demand IA,821027
RSR0342 - Demand IC,821028
RSR0342 - KW C,821029
RSR0342 - Max Demand IG,821030
RSR0342 - VS,821031
RSR0342 - IB,821049
RSR0342 - IC,821050
RSR0342 - Ground Trip,821052
RSR0342 - KW A,821053
RSR0342 - KW 3PH,821054
RSR0342 - IA,821056
RSR0342 - Max Demand IC,821057
RSR1048 - Max Demand IB,821442
RSR1048 - Demand IG,821445
RSR1048 - VA,821446
RSR1048 - Demand IA,821449
RSR1048 - Phase Trip,821468
RSR1048 - IG,821469
RSR1048 - Demand IB,821471
RSR1048 - Fault Current,821472
RSR1048 - VB,821473
RSR1048 - VC,821474
RSR1048 - KW B,821476
RSR1048 - Max Demand IA,821477
RSR1048 - Demand IC,821478
RSR1048 - KW C,821479
RSR1048 - Max Demand IG,821480
RSR1048 - VS,821481
RSR1048 - IB,821499
RSR1048 - IC,821500
RSR1048 - Ground Trip,821502
RSR1048 - KW A,821503
RSR1048 - KW 3PH,821504
RSR1048 - IA,821506
RSR1048 - Max Demand IC,821507
0005079 - Volts,876215
0022040 - Volts,876485
0040150 - Volts,878645
0045126 - Volts,910235
0005391 - Volts,922685
0005099 - Volts,919745
0005073 - Volts,924815
0038284 - Volts,938915
0045104 - Volts,934295
0038464 - Volts,935435
0191065 - Volts,970325
0208313 - Volts,968675
0013268 - Volts,967805
0115931 - Volts,982505
0180152 - Volts,978815
0180153 - Volts,978845
0208016 - Volts,985205
0187221 - Volts,989255
0208053 - Volts,984485
0208047 - Volts,985085
0045124 - Volts,1000115
0208272 - Volts,1013585
0208273 - Volts,1015445
0208262 - Volts,1017005
0208260 - Volts,1012565
0192955 - Volts,1054505
0005069 - Volts,1089559
0005392 - Volts,1128936
0115266 - Volts,1129086
0115936 - Volts,1127336
0038300 - Volts,1127436
0013660 - Volts,1115934
0038290 - Volts,1154061
0045964 - Volts,1154136
0005070 - Volts,1153936
0013253 - Volts,1153961
0044618 - Volts,1167661
0045123 - Volts,1171336
0015945 - Volts,1171386
0038301 - Volts,1171436
0115941 - Volts,1185236
RAR1599 - Phase Trip,1235036
RAR1599 - Ground Trip,1235037
0013262 - Volts,829699
0115858 - Volts,833083
RTEM Aggregate 1844314E - KW [1844314E],1424005
RTEM Aggregate 1844314E - KW [1844314E.1],1424007
RTEM Aggregate 1844314E - KW [1844314E.2],1424009
RTEM Aggregate 2336036E - KW [2336036E],1424685
RTEM Aggregate 2336036E - KW [2336036E.1],1424687
RTEM Aggregate 2336036E - KW [2336036E.2],1424689
RTEM Aggregate 1237554E - KW [1237554E],1422699
RTEM Aggregate 1237554E - KW [1237554E.1],1422701
RTEM Aggregate 1237554E - KW [1237554E.2],1422703
RTEM Aggregate 5051668 - KW [V5051668],1428613
RTEM Aggregate 5051668 - KW [V5051668.1],1428615
RTEM Aggregate 5051668 - KW [V5051668.2],1428617
RTEM Aggregate 5003592 - KW [V5003592],1426243
RTEM Aggregate 5003609 - KW [E5003609],1426245
RTEM Aggregate 5003609 - KW [E5003609.1],1426247
RTEM Aggregate 5003609 - KW [E5003609.2],1426249
RTEM Aggregate 5003609 - KW [E5003609.3],1426251
RTEM Aggregate 5003609 - KW [E5003609.4],1426253
RTEM Aggregate 5015345 - KW [P5015345],1426685
RTEM Aggregate 5202752 - KW [P5202752],1433741
RTEM Aggregate 5208112 - KW [P5208112],1433971
RTEM Aggregate 5163703 - KW [P5163703],1432285
RTEM Aggregate 5126400 - KW [P5126400],1430781
RTEM Aggregate 5394580 - KW [P5394580],1437887
RTEM Aggregate 5365595 - KW [P5365595],1436555
RTEM Aggregate 5307152 - KW [P5307152],1434495
RTEM Aggregate 5461315 - KW [P5461315],1441991
RTEM Aggregate 5475866 - KW [P5475866],1442931
RTEM Aggregate 5481084 - KW [P5481084],1443303
RTEM Aggregate 5459772 - KW [P5459772],1441919
RTEM Aggregate 5461016 - KW [P5461016],1441969
RTEM Aggregate 5536645 - KW [P5536645],1446665
RTEM Aggregate 5538535 - KW [P5538535],1446745
RTEM Aggregate 5538538 - KW [P5538538],1446749
RTEM Aggregate 5545224 - KW [P5545224],1447009
RTEM Aggregate 5545226 - KW [P5545226],1447011
RTEM Aggregate 5571730 - KW [P5571730],1447681
RTEM Aggregate 5557455 - KW [P5557455],1447357
RTEM Aggregate 5532205 - KW [P5532205],1446433
RTEM Aggregate 5519516 - KW [P5519516],1445797
RTEM Aggregate 5503681 - KW [P5503681],1444731
RFI00660C - Conductor Temp,1759393
RFI00660A - Conductor Temp,1757433
RFI00660B - Conductor Temp,1754833
RSR1186 - Ground Trip,836229
RSR1186 - KW A,836230
