POINTNAME,POINTNUMBER,UNIT,ASSETID,CIRCUIT,STATIONNAME
RSR2052 - Demand IB,847940,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR1186 - Max Demand IC,836234,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - Demand IC,836205,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - IB,836210,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - VB,836200,KV,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - VA,855311,KV,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - V2,861229,KV,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR2078 - IB,814902,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - IC,814903,AMPS,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR2078 - VS,814900,KV,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - VC,813890,KV,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - KW 3PH,813920,KW,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - IG,821019,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Max Demand IC,821057,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - VC,821024,KV,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - KW 3PH,821054,KW,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - Max Demand IA,821477,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR8087 - IA,867763,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - VA,867703,KV,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - Max Demand IG,844124,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Max Demand IC,844151,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - 3I2,863258,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - VB,844101,KV,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - KW B,844120,KW,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
0208053 - Volts,984485,VOLTS,DMS.4813533E:0208053,ST. CHARLES,ALHAMBRA
RAR1599 - Max Demand I-3,1896956,AMPS,DMS.4353367E:RAR1599,TRI CITY,ALHAMBRA
0005099 - Volts,919745,VOLTS,DMS.1237594E:0005099,TEST,ALHAMBRA
0038290 - Volts,1154061,VOLTS,DMS.327410E:0038290,KAY,ALHAMBRA
0045117 - Volts,808205,VOLTS,DMS.917163E:0045117,ASTEROID,ALHAMBRA
0038286 - Volts,807395,VOLTS,DMS.1432119E:0038286,TEST,ALHAMBRA
0115266 - Volts,1129086,VOLTS,DMS.4502453E:0115266,TRI CITY,ALHAMBRA
0115936 - Volts,1127336,VOLTS,DMS.1723157E:0115936,KAY,ALHAMBRA
0013264 - Volts,800705,VOLTS,DMS.1206505E:0013264,BRUNNER,ALHAMBRA
RFI22268C - Conductor Temp,1796793,DEG C,DMS.1723496E:RFI22268C,ASTEROID,ALHAMBRA
RSR2052 - Phase Trip,847937,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - IG,847938,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - IB,847968,AMPS,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - VS,847966,KV,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - V2,862929,KV,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RSR2052 - KW A,847988,KW,DMS.4857619E:RSR2052,BRAUN,ALHAMBRA
RFI01484C - Conductor Temp,1784353,DEG C,DMS.4353599E:RFI01484C,TRI CITY,ALHAMBRA
RSR1186 - Max Demand IG,836207,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - IG,836196,AMPS,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - VS,836208,KV,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - KW 3PH,836231,KW,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1186 - KW B,836203,KW,DMS.4723064E:RSR1186,CRESTA,ALHAMBRA
RSR1230 - IA,855371,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - Max Demand IC,855372,AMPS,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - VB,855338,KV,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR1230 - KW 3PH,855369,KW,DMS.1431284E:RSR1230,ASTEROID,ALHAMBRA
RSR2078 - VA,814849,KV,DMS.4570087E:RSR2078,MARGUERITA,ALHAMBRA
RSR1493 - Demand IA,813881,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - IB,813915,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - IA,813938,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR1493 - Demand IG,813861,AMPS,DMS.4531673E:RSR1493,CRESTA,ALHAMBRA
RSR0342 - Phase Trip,821018,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - Max Demand IA,821027,AMPS,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR0342 - VB,821023,KV,DMS.4808859E:RSR0342,TEST,ALHAMBRA
RSR1048 - Fault Current,821472,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - Demand IC,821478,AMPS,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RSR1048 - VB,821473,KV,DMS.2354461E:RSR1048,TEST,ALHAMBRA
RFI22267B - Conductor Temp,1779373,DEG C,DMS.4168292E:RFI22267B,ASTEROID,ALHAMBRA
0038284 - Volts,938915,VOLTS,DMS.4825768E:0038284,ASTEROID,ALHAMBRA
RSR8087 - Max Demand IA,867734,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - IC,867741,AMPS,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - KW B,867733,KW,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR8087 - KW 3PH,867761,KW,DMS.1417449E:RSR8087,TAKNING,ALHAMBRA
RSR1003 - Max Demand IB,844086,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Demand IA,844093,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Phase Trip,844096,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Fault Current,844100,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
RSR1003 - Demand IC,844122,AMPS,DMS.91793E:RSR1003,BRAUN,ALHAMBRA
